"","ITIS_TSN","ScientificName_ITIS","WoRMS_AphiaID","ScientificName_WoRMS","tblcodeid_Aphia_fn","tblcodeid_Aphia","WoRMS_AphiaID_Valid"
"350",NA,NA,137732,"Acanthocardia",5256,5256,137732
"351",NA,NA,130770,"Harmothoe impar",5257,5257,130770
"352",NA,NA,123480,"Havelockia",5258,5258,123480
"353",NA,NA,118852,"Eurydice pulchra",5263,5263,118852
"354",NA,NA,124850,"Ophiocten affinis",5265,5265,124850
"355",NA,NA,134282,"Suberites domuncula",5266,5266,134282
"356",NA,NA,106760,"Majidae",5267,5267,106760
"357",NA,NA,233,"Solenidae",5287,5287,233
"358",NA,NA,102145,"Epimeria cornigera",5288,5288,1053398
"359",NA,NA,140571,"Striarca lactea",5289,5289,140571
"360",NA,NA,110956,"Reteporella",5297,5297,110956
"361",NA,NA,107737,"Jaxea nocturna",5302,5302,107737
"362",NA,NA,250081,"Botrylloides leachii",5303,5303,250081
"363",NA,NA,107353,"Pisa armata",5304,5304,107353
"364",NA,NA,131888,"Raspailia",5305,5305,131888
"365",NA,NA,123206,"Amphiuridae",5306,5306,123206
"366",NA,NA,106791,"Processidae",5307,5307,106791
"367",NA,NA,107341,"Macropodia linaresi",5308,5308,107341
"368",NA,NA,145984,"Ulva lactuca",5309,5309,145984
"369",NA,NA,107258,"Dromia personata",5310,5310,107258
"370",NA,NA,138036,"Gonatus",5311,5311,138036
"371",NA,NA,134121,"Cliona celata",5316,5316,134121
"372",NA,NA,110910,"Chartella",5317,5317,110910
"373",NA,NA,230,"Mactridae",5318,5318,230
"374",NA,NA,236458,"Diplecogaster bimaculata bimaculata",5319,5319,236458
"375",NA,NA,134311,"Tethya aurantium",5320,5320,134311
"376",NA,NA,103448,"Molgulidae",5321,5321,103448
"377",NA,NA,178527,"Cardium echinatum",5323,5323,138992
"378",NA,NA,105905,"Deania profundorum",5325,5325,105905
"379",NA,NA,126354,"Lestidiops jayakari",5326,5326,236452
"380",NA,NA,272278,"Spratelloides lewisi",5327,5327,272278
"381",NA,NA,127301,"Polymetme thaeocoryla",5328,5328,127301
"382",NA,NA,126580,"Benthosema glaciale",5329,5329,126580
"383",NA,NA,103483,"Ascidia",5335,5335,103483
"384",NA,NA,126463,"Bathygadus melanobranchus",4775,4775,126463
"385",NA,NA,126842,"Kali macrura",4776,4776,126842
"386",NA,NA,126865,"Nesiarchus nasutus",4777,4777,126865
"387",NA,NA,127423,"Neocyttus helgae",4778,4778,127423
"388",NA,NA,126749,"Searsia koefoedi",4779,4779,126749
"389",NA,NA,126181,"Melamphaes",4780,4780,126181
"390",NA,NA,105866,"Bathyraja pallida",4781,4781,105866
"391",NA,NA,126638,"Aldrovandia phalacra",4782,4782,126638
"392",NA,NA,127422,"Allocyttus verrucosus",4783,4783,127422
"393",NA,NA,123430,"Spatangus",5081,5081,123430
"394",NA,NA,124661,"Pseudothyone raphanus",5082,5082,124661
"395",NA,NA,107726,"Calocaris macandreae",5083,5083,107726
"396",NA,NA,146492,"Angulus tenuis",5084,5084,878470
"397",NA,NA,141905,"Velutina velutina",5085,5085,141905
"398",NA,NA,126180,"Trigla",5148,5148,126180
"399",NA,NA,126131,"Pegusa",5149,5149,126131
"400",NA,NA,154461,"Trigloporus",5150,5150,154461
"401",NA,NA,106733,"Galatheidae",5151,5151,106733
"402",NA,NA,215,"Ostreidae",5152,5152,215
"403",NA,NA,19494,"Hydroidolina",5153,5153,19494
"404",NA,NA,150672,"Pentapora foliacea",5154,5154,150672
"405",NA,NA,150629,"Echiichthys",5155,5155,150629
"406",NA,NA,110735,"Cellariidae",5156,5156,110735
"407",NA,NA,126178,"Chelidonichthys",5157,5157,126178
"408",NA,NA,136112,"Rissoides",5158,5158,136112
"409",NA,NA,574582,"Philine quadripartita",5159,5159,574582
"410",NA,NA,150636,"Eutrigla",5160,5160,150636
"411",NA,NA,107652,"Pandalus propinqvus",5264,5264,158351
"412",NA,NA,110783,"Alcyonidiidae",5298,5298,110783
"413",NA,NA,125073,"Amphiura chiajei",5299,5299,125073
"414",NA,NA,243,"Veneridae",5314,5314,243
"415",NA,NA,139951,"Diodora graeca",5315,5315,139951
"416",NA,NA,379562,"Asterias rubens",5331,5331,125161
"417",NA,NA,103791,"Molgula occulta",5332,5332,103791
"418",NA,NA,117870,"Abietinaria abietina",5336,5336,117870
"419",NA,NA,138961,"Calyptraea chinensis",5337,5337,138961
"420",NA,NA,141741,"Trivia arctica",5338,5338,141741
"421",NA,NA,141906,"Callista chione",5339,5339,141906
"422",NA,NA,105837,"Cetorhinus maximus",5341,5341,105837
"423",NA,NA,143755,"Laminariaceae",5404,5404,143755
"424",NA,NA,141753,"Calliostoma granulatum",5405,5405,141753
"425",NA,NA,125134,"Ophiothrix luetkeni",5406,5406,125134
"426",NA,NA,125128,"Asteria cuvieri",5408,5408,125131
"427",NA,NA,123101,"Echinoida",5424,5424,510534
"428",NA,NA,100653,"Actiniidae",5425,5425,100653
